English,Polish
garage,garaż
garden,ogród
gas,gaz
gate,brama
gather,zebrać
general,ogólny
generally,ogólnie
generate,spowodować
generation,generacja
generous,hojny
genre,genre
gentle,delikatny
gentleman,pan
geography,geografia
get,Dostawać
ghost,duch
giant,gigant
gift,prezent
girl,dziewczyna
girlfriend,przyjaciółka
give,dawać
glad,zadowolony
glass,szkło
global,światowy
glove,rękawica
go,Iść
goal,bramka
god,Bóg
gold,złoto
golf,golf
good,Dobry
goodbye,do widzenia
goods,towary
govern,rządzić
government,rząd
grab,złapać
grade,stopień
gradually,stopniowo
graduate,absolwent
grain,ziarno
grand,wielki
grandfather,dziadek
grandmother,babcia
grandparent,dziadek
grant,dotacja
grass,trawa
grateful,wdzięczny
great,Świetnie
green,zielony
greet,powitać
grey,szary
ground,grunt
group,grupa
grow,rosnąć
growth,wzrost
guarantee,gwarancja
guard,strażnik
guess,zgadywać
guest,gość
guide,przewodnik
guilty,winny
guitar,gitara
gun,pistolet
guy,facet
gym,sala gimnastyczna
habit,nawyk
hair,włosy
half,połowa
hall,hala
hand,ręka
handle,uchwyt
hang,powiesić
happen,stać się
happily,szczęśliwie
happiness,szczęście
happy,szczęśliwy
hard,twardy
hardly,ledwie
harm,szkoda
harmful,szkodliwy
hat,kapelusz
hate,nienawidzić
have,Posiadać
have to,musieć
he,On
head,głowa
headache,ból głowy
headline,nagłówek
health,zdrowie
healthy,zdrowy
hear,słyszeć
hearing,przesłuchanie
heart,serce
heat,ciepło
heating,ogrzewanie
heaven,niebo
heavily,mocno
heavy,ciężki
heel,obcas
height,wysokość
helicopter,śmigłowiec
hell,piekło
hello,Witam
help,pomoc
helpful,pomocny
her,jej
here,Tutaj
hero,bohater
hers,jej
herself,się
hesitate,wahać się
hey,Hej
hi,Cześć
hide,ukrywać
high,wysoki
highlight,atrakcja
highly,wysoko
hill,wzgórze
him,jego
himself,się
hire,wynajmować
his,jego
historic,historyczny
historical,historyczny
history,historia
hit,uderzyć
hobby,hobby
hockey,hokej
hold,trzymać
hole,otwór
holiday,wakacje
hollow,dziurawy
holy,święty
home,dom
homework,praca domowa
honest,uczciwy
honour,honor
hope,mieć nadzieję
horrible,straszny
horror,przerażenie
horse,koń
hospital,szpital
host,gospodarz
hot,gorący
hotel,hotel
hour,godzina
house,dom
household,gospodarstwo domowe
housing,mieszkania
how,Jak
however,Jednakże
huge,ogromny
human,człowiek
humorous,humorystyczny
humour,humor
hundred,sto
hungry,głodny
hunt,polowanie
hunting,polowanie
hurricane,huragan
hurry,spieszyć się
hurt,zraniony
husband,mąż
i,I
ice,lód
ice cream,lody
idea,pomysł
ideal,ideał
identify,zidentyfikować
identity,tożsamość
if,Jeśli
ignore,ignorować
ill,chory
illegal,nielegalny
illness,choroba
illustrate,zilustrować
illustration,ilustracja
image,obraz
imaginary,wyimaginowany
imagination,wyobraźnia
imagine,wyobrażać sobie
immediate,natychmiastowy
immediately,natychmiast
immigrant,imigrant
impact,uderzenie
impatient,niecierpliwy
imply,sugerować
import,import
importance,znaczenie
important,ważny
impose,narzucać
impossible,niemożliwe
impress,piętno
impressed,pod wrażeniem
impression,wrażenie
impressive,imponujący
improve,poprawić
improvement,poprawa
in,W
inch,cal
incident,incydent
include,włączać
included,dołączony
including,w tym
income,dochód
increase,zwiększyć
increasingly,coraz częściej
incredible,niesamowity
incredibly,niesamowicie
indeed,Rzeczywiście
independent,niezależny
indicate,wskazać
indirect,pośredni
individual,indywidualny
indoor,wnętrz
indoors,w domu
industrial,przemysłowy
industry,przemysł
infection,zakażenie
influence,wpływ
inform,poinformować
informal,nieformalny
information,informacja
ingredient,składnik
initial,wstępny
initially,początkowo
initiative,inicjatywa
injure,szkodzić
injured,ranny
injury,obrażenia
inner,wewnętrzny
innocent,niewinny
insect,owad
inside,wewnątrz
insight,wgląd
insist,nalegać
inspire,inspirować
install,zainstalować
instance,przykład
instead,Zamiast
institute,instytut
institution,instytucja
instruction,instrukcja
instructor,instruktor
instrument,instrument
insurance,ubezpieczenie
intelligence,inteligencja
intelligent,inteligentny
intend,zamierzać
intended,przeznaczony
intense,intensywny
intention,zamiar
interest,odsetki
interested,zainteresowany
interesting,ciekawy
internal,wewnętrzny
international,międzynarodowy
internet,Internet
interpret,interpretować
interrupt,przerywać
interview,wywiad
into,do
introduce,wprowadzić
introduction,wstęp
invent,wynaleźć
invention,wynalazek
invest,inwestować
investigate,zbadać
investigation,dochodzenie
investment,inwestycja
invitation,zaproszenie
invite,zapraszać
involve,zaangażować
involved,zaangażowany
iron,żelazo
island,wyspa
issue,wydanie
it,To
item,przedmiot
its,jego
itself,się
jacket,kurtka
jam,dżem
january,Styczeń
jazz,jazz
jeans,dżinsy
jewellery,biżuteria
job,stanowisko
join,dołączyć
joke,żart
journal,dziennik
journalist,dziennikarz
journey,podróż
joy,radość
judge,sędzia
judgement,osąd
juice,sok
july,lipiec
jump,skok
june,czerwiec
junior,junior
justice,sprawiedliwość
justify,uzasadniać
keen,chętny
keep,trzymać
key,klawisz
keyboard,klawiatura
kick,rzut
kid,dziecko
kill,zabić
killing,zabicie
kilometre,kilometr
kind,Uprzejmy
king,król
kiss,pocałunek
kitchen,kuchnia
knee,kolano
knife,nóż
knock,pukanie
know,wiedzieć
knowledge,wiedza
lab,laboratorium
label,etykieta
laboratory,laboratorium
labour,praca
lack,brak
lady,dama
lake,jezioro
lamp,lampa
land,grunt
landscape,krajobraz
language,język
laptop,laptop
large,duży
largely,w dużej mierze
last,ostatni
late,późno
later,później
latest,najnowszy
laugh,śmiech
laughter,śmiech
launch,początek
law,prawo
lawyer,prawnik
lay,położyć
layer,warstwa
lazy,leniwy
lead,Ołów
leader,lider
leadership,przywództwo
leading,prowadzący
leaf,liść
league,liga
lean,pochylać się
learn,uczyć się
learning,nauka
least,najmniej
leather,skóra
leave,Zostawić
lecture,wykład
left,lewy
leg,noga
legal,prawny
leisure,wypoczynek
lemon,cytrynowy
lend,pożyczać
length,długość
less,mniej
lesson,lekcja
let,pozwalać
letter,list
level,poziom
library,biblioteka
licence,licencja
lie,kłamstwo
life,życie
lifestyle,styl życia
lift,winda
light,światło
like,tak jak
likely,prawdopodobnie
limit,limit
limited,ograniczony
line,linia
link,połączyć
lion,lew
lip,warga
liquid,płyn
list,lista
listen,Słuchać
listener,słuchacz
literature,literatura
little,mały
live,na żywo
lively,pełen życia
living,żyjący
load,obciążenie
loan,pożyczka
local,lokalny
locate,lokalizować
located,usytuowany
location,lokalizacja
lock,zamek
logical,logiczny
lonely,samotny
long,długi
long-term,długofalowy
look,Patrzeć
loose,luźny
lord,lord
lorry,ciężarówka
lose,stracić
loss,strata
lost,zaginiony
lot,działka
loud,głośny
loudly,głośno
love,Miłość
lovely,śliczny
low,Niski
lower,niżej
luck,szczęście
lucky,mający szczęście
lunch,obiad
lung,płuco
luxury,luksus
machine,maszyna
mad,szalony
magazine,magazyn
magic,magia
mail,poczta
main,główny
mainly,głównie
maintain,utrzymywać
majority,większość
make,robić
male,Mężczyzna
mall,centrum handlowe
man,Człowiek
manage,zarządzać
management,kierownictwo
manager,menedżer
manner,sposób
many,wiele
map,mapa
mark,ocena
market,rynek
marketing,marketing
marriage,małżeństwo
married,żonaty
marry,poślubić
mass,masa
massive,masywny
master,gospodarz
match,mecz
matching,dopasowanie
material,tworzywo
mathematics,matematyka
maths,matematyka
matter,materiał
maximum,maksymalny
may,móc
maybe,Może
me,Ja
meal,posiłek
mean,mieć na myśli
meaning,oznaczający
means,oznacza
meanwhile,Tymczasem
measure,mierzyć
measurement,pomiar
meat,mięso
media,głoska bezdźwięczna
medical,medyczny
medicine,medycyna
medium,średni
meet,poznać
meeting,spotkanie
melt,stopić
member,członek
memory,pamięć
mental,psychiczny
mention,wzmianka
menu,menu
mess,bałagan
message,wiadomość
metal,metal
method,metoda
metre,metr
middle,środek
midnight,północ
might,móc
mild,łagodny
mile,mila
military,wojskowy
milk,mleko
million,milion
mind,umysł
mine,kopalnia
mineral,minerał
minimum,minimum
minister,minister
minor,drobny
minority,mniejszość
mirror,lustro
miss,chybić
missing,zaginiony
mission,misja
mistake,błąd
mix,mieszać
mixed,mieszany
mixture,mieszanina
mobile,przenośny
model,model
modern,nowoczesny
modify,modyfikować
moment,moment
monday,Poniedziałek
money,pieniądze
monitor,monitor
monkey,małpa
month,miesiąc
mood,nastrój
moon,księżyc
moral,morał
more,więcej
morning,Poranek
most,bardzo
mostly,głównie
mother,matka
motor,silnik
motorcycle,motocykl
mount,uchwyt
mountain,góra
mouse,mysz
mouth,usta
move,przenosić
movement,ruch
movie,film
much,dużo
mud,błoto
multiple,wiele 
multiply,zwielokrotniać
mum,milczący
murder,morderstwo
muscle,mięsień
museum,muzeum
music,muzyka
musical,musical
musician,muzyk
must,musieć
my,Mój
myself,ja
mysterious,tajemniczy
mystery,tajemnica
nail,gwóźdź
name,nazwa
narrative,narracja
narrow,wąski
nation,naród
national,krajowy
native,rodzinny
natural,naturalny
naturally,naturalnie
nature,natura
near,w pobliżu
nearly,prawie
neat,schludny
necessarily,koniecznie
necessary,niezbędny
neck,szyja
need,potrzebować
needle,igła
negative,negatywny
neighbour,sąsiad
neighbourhood,sąsiedztwo
neither,żaden
nerve,nerw
nervous,nerwowy
network,sieć
never,nigdy
nevertheless,niemniej jednak
new,nowy
news,aktualności
newspaper,gazeta
next,Następny
next to,obok
nice,Ładny
night,noc
nightmare,koszmar
nine,dziewięć
nineteen,dziewiętnaście
ninety,dziewięćdziesiąt
no,NIE
no one,nikt
nobody,nikt
noise,hałas
noisy,hałaśliwy
none,nic
nor,ani
normal,normalna
normally,normalnie
north,północ
northern,północny
nose,nos
not,nie
note,notatka
nothing,Nic
notice,ogłoszenie
notion,pojęcie
november,Listopad
now,Teraz
nowhere,nigdzie
nuclear,jądrowy
number,numer
numerous,liczny
nurse,pielęgniarka
nut,nakrętka
o'clock,O'Clock
obey,przestrzegać
object,obiekt
objective,cel
obligation,obowiązek
observation,obserwacja
observe,przestrzegać
obtain,uzyskać
obvious,oczywiste
obviously,oczywiście
occasion,okazja
occasionally,sporadycznie
occur,zdarzać się
ocean,ocean
october,październik
odd,dziwne
of,z
off,wyłączony
offence,wykroczenie
offend,obrazić
offensive,ofensywa
offer,oferta
office,biuro
officer,oficer
official,urzędnik
often,często
oh,Oh
oil,olej
ok,OK
old,stary
old-fashioned,staromodny
on,NA
once,raz
one,jeden
onion,cebula
online,online
only,tylko
onto,na
open,Otwarte
opening,otwór
operate,działać
operation,działanie
opinion,opinia
opponent,przeciwnik
opportunity,możliwość
oppose,sprzeciwiać się
opposed,przeciwny
opposite,naprzeciwko
opposition,sprzeciw
option,opcja
or,Lub
orange,pomarańczowy
order,zamówienie
ordinary,zwykły
organ,organ
organization,organizacja
organize,zorganizować
organized,zorganizowany
organizer,organizator
origin,pochodzenie
original,oryginalny
originally,pierwotnie
other,Inny
otherwise,W przeciwnym razie
ought,powinien
our,nasz
ours,nasz
ourselves,się
out,na zewnątrz
outcome,wynik
outdoor,plenerowy
outdoors,na powietrzu
outer,zewnętrzny
outline,zarys
outside,poza
oven,piekarnik
over,nad
overall,Ogólnie
owe,być winnym
own,własny
owner,właściciel
pace,tempo
pack,pakiet
package,pakiet
page,strona
pain,ból
painful,bolesny
paint,farba
painter,malarz
painting,malarstwo
pair,para
palace,pałac
pale,blady
pan,patelnia
panel,płyta
pants,spodnie
paper,papier
paragraph,ustęp
parent,roślina mateczna
park,park
parking,parking
parliament,parlament
part,część
participant,uczestnik
participate,brać udział
particular,konkretny
particularly,w szczególności
partly,częściowo
partner,partner
party,impreza
pass,przechodzić
passage,przejście
passenger,pasażer
passion,pasja
passport,paszport
past,przeszłość
path,ścieżka
patient,pacjent
pattern,wzór
pay,płacić
payment,zapłata
peace,pokój
peaceful,spokojny
pen,pióro
pencil,ołówek
penny,grosz
pension,emerytura
people,ludzie
pepper,pieprz
per,za
per cent,procent
percentage,procent
perfect,doskonały
perfectly,doskonale
perform,dokonywać
performance,wydajność
perhaps,być może
period,okres
permanent,stały
permission,pozwolenie
permit,zezwolenie
person,osoba
personal,osobisty
personality,osobowość
personally,osobiście
perspective,perspektywiczny
persuade,namówić
pet,zwierzak domowy
petrol,benzyna
phase,faza
phenomenon,zjawisko
philosophy,filozofia
phone,telefon
photo,zdjęcie
photograph,fotografia
photographer,fotograf
photography,fotografia
phrase,wyrażenie
physical,fizyczny
physics,fizyka
piano,fortepian
pick,wybierać
picture,zdjęcie
piece,sztuka
pig,świnia
pile,stos 
pilot,pilot
pin,szpilka
pink,różowy
pipe,rura
pitch,poziom
place,miejsce
plain,zwykły
plan,plan
plane,samolot
planet,planeta
planning,planowanie
plant,zakład
plastic,plastikowy
plate,płyta
platform,platforma
play,grać
player,odtwarzacz
pleasant,przyjemny
please,Proszę
pleased,zadowolony
pleasure,przyjemność
plenty,mnóstwo
plot,działka
plus,plus
pocket,kieszeń
poem,wiersz
poet,poeta
poetry,poezja
point,punkt
pointed,spiczasty
poison,zatruć
poisonous,trujący
police,Policja
policeman,policjant
policy,polityka
polite,grzeczny
political,polityczny
politician,polityk
politics,polityka
pollution,zanieczyszczenie
pool,basen
poor,słaby
popular,popularny
popularity,popularność
population,populacja
port,port
portrait,portret
pose,poza
position,pozycja
positive,pozytywny
possess,posiadać
possession,posiadanie
possibility,możliwość
possible,możliwy
possibly,prawdopodobnie
post,post
poster,plakat
pot,garnek
potato,ziemniak
potential,potencjał
pound,funt
pour,wlać
poverty,ubóstwo
powder,proszek
power,moc
powerful,potężny
practical,praktyczny
practice,praktyka
practise,praktyka
praise,pochwała
pray,modlić się
prayer,modlitwa
predict,przewidywać
prediction,prognoza
prefer,woleć
pregnant,w ciąży
preparation,przygotowanie
prepare,przygotowywać
prepared,przygotowany
presence,obecność
present,obecny
presentation,prezentacja
preserve,utrzymywać
president,prezydent
press,naciskać
pressure,ciśnienie
pretend,udawać
pretty,ładny
prevent,zapobiegać
previous,poprzedni
previously,poprzednio
price,cena
priest,kapłan
primary,podstawowy
prime,główny
prince,książę
princess,księżniczka
principle,zasada
print,wydrukować
printer,drukarka
printing,druk
priority,priorytet
prison,więzienie
prisoner,więzień
privacy,prywatność
private,prywatny
prize,nagroda
probably,prawdopodobnie
problem,problem
procedure,procedura
process,proces
produce,wytwarzać
producer,producent
product,produkt
production,produkcja
profession,zawód
professional,profesjonalny
professor,profesor
profile,profil
profit,zysk
program,program
programme,program
progress,postęp
project,projekt
promise,obietnica
promote,promować
pronounce,wymawiać
proof,dowód
proper,właściwy
properly,odpowiednio
property,nieruchomość
proposal,wniosek
propose,zaproponować
prospect,perspektywa
protect,chronić
protection,ochrona
protest,protest
proud,dumny
prove,udowodnić
provide,dostarczać
psychologist,psycholog
psychology,psychologia
pub,pub
public,publiczny
publication,publikacja
publish,publikować
pull,ciągnąć
punish,karać
punishment,kara
pupil,źrenica
purchase,zakup
pure,czysty
purple,fioletowy
purpose,zamiar
pursue,realizować
push,naciskać
put,umieścić
qualification,kwalifikacja
qualified,wykwalifikowany
qualify,zakwalifikować
quality,jakość
quantity,ilość
quarter,kwartał
queen,królowa
question,pytanie
queue,kolejka
quick,szybki
quickly,szybko
quiet,cichy
quietly,cicho
quit,zrezygnować 
quite,całkiem
quotation,cytat
quote,cytat
race,wyścig
racing,wyścigi
radio,radio
railway,kolej żelazna
rain,deszcz
raise,wznosić
range,zakres
rank,stopień
rapid,szybki
rapidly,wartko
rare,rzadki
rarely,rzadko
rate,wskaźnik
rather,raczej
raw,surowy
reach,zasięg
react,zareagować
reaction,reakcja
read,Czytać
reader,czytelnik
reading,czytanie
ready,gotowy
real,prawdziwy
realistic,realistyczny
reality,rzeczywistość
realize,zrealizować
really,Naprawdę
reason,powód
reasonable,rozsądny
recall,przypomnienie sobie czegoś
receipt,paragon
receive,odbierać
recent,ostatni
recently,Ostatnio
reception,przyjęcie
recipe,przepis
recognize,rozpoznać
recommend,polecić
recommendation,zalecenie
record,nagrywać
recording,nagranie
recover,odzyskiwać
recycle,ponownie wprowadzać do obiegu
red,czerwony
reduce,zmniejszyć
reduction,zmniejszenie
refer,wspominać
reference,odniesienie
reflect,odbijać
refuse,odmawiać
regard,szacunek
region,region
regional,regionalny
register,rejestr
regret,żal
regular,regularny
regularly,regularnie
regulation,regulacja
reject,odrzucić
relate,odnieść się
related,powiązany
relation,relacja
relationship,relacja
relative,względny
relatively,stosunkowo
relax,zrelaksować się
relaxed,zrelaksowany
relaxing,odprężający
release,uwolnienie
relevant,odpowiedni
reliable,niezawodny
relief,ulga
religion,religia
religious,religijny
rely,polegać
remain,pozostać
remark,uwaga
remember,Pamiętać
remind,przypomnieć
remote,zdalny
remove,usunąć
rent,wynajem
repair,naprawa
repeat,powtarzać
repeated,powtarzający się
replace,zastępować
reply,odpowiedź
report,raport
reporter,reporter
represent,reprezentować
representative,przedstawiciel
reputation,reputacja
request,wniosek
require,wymagać
requirement,wymóg
rescue,ratunek
research,badania
researcher,badacz
reservation,rezerwacja
reserve,zarezerwować
resident,rezydent
resist,oprzeć się
resolve,rozstrzygać
resort,uciec
resource,ratunek
respect,szacunek
respond,reagować
response,odpowiedź
responsibility,odpowiedzialność
responsible,odpowiedzialny
rest,odpoczynek
restaurant,restauracja
result,wynik
retain,zachować
retire,odchodzić
retired,emerytowany
return,powrót
reveal,ujawnić
review,recenzja
revise,poprawiać
revolution,rewolucja
reward,nagroda
rhythm,rytm
rice,ryż
rich,bogaty
rid,eliminować
ride,jeździć
right,Prawidłowy
ring,pierścień
rise,wzrastać
risk,ryzyko
river,rzeka
road,droga
robot,robot
role,rola
roll,rolka
romantic,romantyczny
roof,dach
room,pokój
root,źródło
rope,lina
rough,surowy
round,okrągły
route,trasa
routine,rutyna
row,wiersz
royal,królewski
rub,pocierać
rubber,guma
rubbish,śmieci
rude,niegrzeczny
rugby,rugby
rule,reguła
run,uruchomić
runner,biegacz
running,działanie
rural,wiejski
rush,pośpiech
sad,smutny
sadly,Niestety
safe,bezpieczna
safety,bezpieczeństwo
sail,żagiel
sailing,żeglarstwo
sailor,marynarz
salad,sałatka
salary,wynagrodzenie
sale,sprzedaż
salt,sól
same,To samo
sample,próbka
sand,piasek
sandwich,kanapka
satellite,satelita
satisfied,zadowolony
satisfy,usatysfakcjonować
saturday,sobota
sauce,sos
save,ratować
saving,oszczędność
scale,skala
scan,skandować
scared,przestraszony
scary,straszny
scene,scena
schedule,harmonogram
scheme,schemat
school,szkoła
science,nauka
scientific,naukowy
scientist,naukowiec
score,wynik
scream,krzyk
screen,ekran
script,scenariusz
sculpture,rzeźba
sea,morze
search,szukaj
season,sezon
seat,siedziba
second,drugi
secondary,wtórny
secondly,po drugie
secret,sekret
secretary,sekretarz
section,sekcja
sector,sektor
secure,bezpieczny
security,bezpieczeństwo
see,Widzieć
seed,nasienie
seek,szukać
seem,wydaje się
select,wybierać
selection,wybór
self,ja
sell,sprzedać
send,wysłać
senior,senior
sense,sens
sensible,rozsądny
sensitive,wrażliwy
sentence,zdanie
separate,oddzielny
september,wrzesień
sequence,sekwencja
series,szereg
serious,poważny
seriously,poważnie
servant,sługa
serve,podawać
service,praca
session,sesja
set,ustawić
setting,ustawienie
settle,rozstrzygnąć
seven,siedem
seventeen,siedemnaście
seventy,siedemdziesiąt
several,kilka
severe,ciężki : silny
sex,seks
sexual,seksualny
shade,cień
shadow,cień
shake,potrząsnąć
shall,być
shallow,płytki
shame,wstyd
shape,kształt
share,udział
sharp,ostry
she,ona
sheep,owce
sheet,arkusz
shelf,półka
shell,powłoka
shelter,schronienie
shift,zmiana
shine,świecić
shiny,błyszczący
ship,statek
shirt,koszula
shock,zaszokować
shocked,Zszokowany
shoe,but
shooting,strzelanie
shop,sklep
shopping,zakupy
short,krótki
shot,strzał
should,powinien
shoulder,ramię
shout,krzyczeć
show,pokazywać
shower,prysznic
shut,zamknąć
shy,nieśmiały
sick,chory
side,strona
sight,wzrok
sign,podpisać
signal,sygnał
significant,istotne
significantly,znacznie
silence,cisza
silent,cichy
silk,jedwab
silly,głupi
silver,srebrny
similar,podobny
similarity,podobieństwo
similarly,podobnie
simple,prosty
simply,po prostu
since,od
sincere,szczery
sing,śpiewać
singer,piosenkarz
singing,śpiew
single,pojedynczy
sink,zlew
sir,pan
sister,siostra
sit,siedzieć
site,strona
situation,sytuacja
six,sześć
sixteen,szesnaście
sixty,sześćdziesiąt
size,rozmiar
ski,jeździć na nartach
skiing,narciarstwo
skill,umiejętność
skin,skóra
skirt,spódnica
sky,niebo
slave,niewolnik
sleep,spać
slice,plasterek
slide,slajd
slight,niewielki
slightly,nieznacznie
slip,poślizg
slope,nachylenie
slow,powolny
slowly,powoli
small,mały
smart,mądry
smell,zapach
smile,uśmiech
smoke,dym
smoking,palenie
smooth,gładki
snake,wąż
snow,śnieg
so,Więc
soap,mydło
soccer,piłka nożna
social,społeczny
society,społeczeństwo
sock,skarpetka
soft,miękki
software,oprogramowanie
soil,gleba
solar,słoneczny
soldier,żołnierz
solid,solidny
solution,rozwiązanie
solve,rozwiązywać
some,Niektóre
somebody,ktoś
someone,ktoś
something,coś
sometimes,Czasami
somewhat,nieco
somewhere,gdzieś
son,syn
song,piosenka
soon,Wkrótce
sorry,Przepraszam
sort,sortować
soul,dusza
soup,zupa
source,źródło
south,południe
southern,południowy
space,przestrzeń
speak,mówić
speaker,głośnik
special,specjalny
specialist,specjalista
species,gatunek
specific,specyficzny
specifically,swoiście
speech,przemówienie
speed,prędkość
spelling,pisownia
spend,wydawać
spending,wydatki
spicy,pikantny
spider,pająk
spirit,duch
spiritual,duchowy
split,podział
spoken,mówiony
sponsor,sponsor
spoon,łyżka
sport,sport
spot,miejsce
spread,rozpowszechnianie się
spring,wiosna
square,kwadrat
stable,stabilny
stadium,stadion
staff,personel
stage,scena
stair,schodek
stamp,stempel
stand,podstawka
standard,standard
star,gwiazda
stare,gapić się
start,start
state,państwo
statement,oświadczenie
station,stacja
statistic,statystyczny
statue,statua
status,status
stay,zostawać
steady,stały
steal,ukraść
steel,stal
steep,stromy
step,krok
stick,stick
sticky,lepki
stiff,sztywny
still,Nadal
stock,magazyn
stomach,żołądek
stone,kamień
stop,zatrzymywać się
store,sklep
storm,burza
story,historia
straight,prosty
strange,dziwny
stranger,nieznajomy
strategy,strategia
stream,strumień
street,ulica
strength,wytrzymałość
stress,stres
stretch,rozciągać się
strict,ścisły
strike,strajk
string,smyczkowy
strong,mocny
strongly,silnie
structure,struktura
struggle,walka
student,student
studio,studio
study,badanie
stuff,rzeczy
stupid,głupi
style,styl
subject,temat
sublist,Sublist
submit,składać
substance,substancja
succeed,odnieść sukces
success,sukces
successful,udany
successfully,skutecznie
such,taki
sudden,nagły
suddenly,Nagle
suffer,cierpieć
sugar,cukier
suggest,sugerować
suggestion,sugestia
suit,garnitur
suitable,odpowiedni
sum,suma
summarize,streszczać
summary,streszczenie
summer,lato
sun,słoneczny
sunday,niedziela
supermarket,supermarket
supply,dostarczać
support,wsparcie
supporter,kibic
suppose,przypuszczać
sure,Jasne
surely,pewno
surface,powierzchnia
surgery,chirurgia
surprise,niespodzianka
surprised,zaskoczony
surprising,zaskakujący
surround,otaczać
surrounding,otaczający
survey,ankieta
survive,przetrwać
suspect,podejrzany
swear,przeklinać
sweater,sweter
sweep,zamiatać
sweet,słodki
swim,pływać
swimming,pływacki
switch,przełącznik
symbol,symbol
sympathy,współczucie
symptom,objaw
system,system
t-shirt,T-shirt
table,tabela
tablet,tabletka
tail,ogon
take,Brać
tale,opowieść
talent,talent
talented,utalentowany
talk,rozmawiać
tall,wysoki
tank,zbiornik
tape,taśma
target,cel
task,zadanie
taste,smak
tax,podatek
taxi,Taxi
tea,herbata
teach,uczyć
teacher,nauczyciel
teaching,nauczanie
team,zespół
tear,łza
technical,techniczny
technique,technika
technology,technologia
teenage,nastolatek
teenager,nastolatek
telephone,telefon
television,telewizja
tell,powiedzieć
temperature,temperatura
temporary,tymczasowy
ten,dziesięć
tend,mieć skłonności
tennis,tenis
tent,namiot
term,termin
terrible,straszny
test,test
text,tekst
than,niż
thank,dziękować
thanks,Dzięki
that,To
the,.
theatre,teatr
their,ich
theirs,ich
them,ich
theme,temat
themselves,sobie
then,Następnie
theory,teoria
therapy,terapia
there,Tam
therefore,W związku z tym
they,Oni
thick,gruby
thief,złodziej
thin,cienki
thing,rzecz
think,myśleć
thinking,myślący
third,trzeci
thirsty,spragniony
thirteen,trzynaście
thirty,trzydzieści
this,Ten
though,chociaż
thought,myśl
thousand,tysiąc
threat,zagrożenie
threaten,zagrozić
three,trzy
throat,gardło
through,Poprzez
throughout,na wskroś
throw,rzucić
thursday,Czwartek
thus,zatem
ticket,bilet
tidy,czysty
tie,krawat
tight,obcisły
till,do
time,czas
tin,cyna
tiny,malutki
tip,wskazówka
tired,zmęczony
title,tytuł
to,Do
today,Dzisiaj
toe,palec u nogi
together,razem
toilet,toaleta
tomato,pomidor
tomorrow,jutro
tone,ton
tongue,język
tonight,dziś wieczorem
too,zbyt
tool,narzędzie
tooth,ząb
topic,temat
totally,całkowicie
touch,dotykać
tough,trudny
tour,wycieczka
tourism,turystyka
tourist,turystyczny
towards,w kierunku
towel,ręcznik
tower,wieża
town,miasto
toy,zabawka
track,ścieżka
trade,handel
tradition,tradycja
traditional,tradycyjny
traffic,ruch drogowy
train,pociąg
trainer,trener
training,szkolenie
transfer,przenosić 
transform,przekształcać
transition,przemiana
translate,tłumaczyć
translation,tłumaczenie
transport,transport
travel,podróż
traveller,podróżny
treat,traktować
treatment,leczenie
tree,drzewo
trend,tendencja
trial,test
trick,sztuczka
trip,wycieczka
tropical,tropikalny
trouble,kłopoty
trousers,spodnie
truck,ciężarówka
TRUE,PRAWDA
truly,naprawdę
trust,zaufanie
truth,prawda
try,próbować
tube,rura
tuesday,Wtorek
tune,melodia
tunnel,tunel
turn,zakręt
tv,telewizja
twelve,dwanaście
twenty,dwadzieścia
twice,dwa razy
twin,bliźniak
two,dwa
type,typ
typical,typowy
typically,zazwyczaj
tyre,opona
ugly,brzydki
ultimately,ostatecznie
umbrella,parasol
unable,niezdolny
uncle,wujek
uncomfortable,niewygodny
unconscious,nieświadomy
under,pod 
underground,podziemny
understand,zrozumieć
understanding,zrozumienie
underwear,bielizna
unemployed,bezrobotni
unemployment,bezrobocie
unexpected,nieoczekiwany
unfair,niesprawiedliwy
unfortunately,Niestety
unhappy,nieszczęśliwy
uniform,mundur
union,unia
unique,unikalny
unit,jednostka
united,zjednoczony
universe,wszechświat
university,uniwersytet
unknown,nieznany
unless,chyba że
unlike,inaczej
unlikely,mało prawdopodobny
unnecessary,niepotrzebny
unpleasant,nieprzyjemny
until,dopóki
unusual,niezwykłe
up,w górę
update,aktualizacja
upon,od
upper,górny
upset,zdenerwowany
upstairs,na piętrze
upwards,w górę
urban,miejski
urge,pragnienie
us,nas
use,używać
used,używany
used to,wykorzystywany do
useful,użyteczne
user,użytkownik
usual,zwykły
usually,zazwyczaj
vacation,wakacje
valley,dolina
valuable,cenny
value,wartość
van,awangarda
variety,różnorodność
various,różny
vary,różnić się
vast,rozległy
vegetable,warzywo
vehicle,pojazd
venue,lokal
version,wersja
very,bardzo
via,przez
victim,ofiara
victory,zwycięstwo
video,wideo
view,pogląd
viewer,dozorca
village,wieś
violence,przemoc
violent,brutalny
virtual,faktyczny
virus,wirus
vision,wizja
visit,odwiedzać
visitor,gość
visual,wizualny
vital,niezbędny
vitamin,witamina
voice,głos
volume,tom
volunteer,wolontariusz
vote,głosować
wage,płaca
wait,Czekać
waiter,kelner
wake,budzić
walk,chodzić
wall,ściana
want,chcieć
war,wojna
warm,ciepły
warn,ostrzegać
warning,ostrzeżenie
wash,umyć
washing,mycie
waste,marnować
watch,oglądać
water,woda
wave,fala
way,sposób
